implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,187,4645.737,2424.000,3636.000,13292,815,0,62,1
go,root-help,188,5696.282,1229.000,6149.000,13180,772,0,72,0
rust,root-help,188,2535.043,814.000,1629.000,6596,350,0,1,0
rust,root-help,189,2324.868,0.000,2215.000,6580,349,0,1,0
go,root-help,189,5995.644,4843.000,2905.000,13176,759,0,67,1
go,root-help,190,5641.909,6440.000,1073.000,13300,793,0,61,0
rust,root-help,190,2833.704,0.000,2147.000,6388,356,0,1,1
rust,root-help,191,2239.869,1067.000,1067.000,6576,350,0,1,0
go,root-help,191,6231.947,2126.000,5317.000,13180,782,0,83,1
go,root-help,192,6161.977,1282.000,6414.000,13340,817,0,72,0
rust,root-help,192,2659.285,869.000,1738.000,6816,351,0,1,0
rust,root-help,193,2090.146,1021.000,1021.000,6616,351,0,1,0
go,root-help,193,5794.545,3166.000,4221.000,13164,757,0,79,0
go,root-help,194,4614.108,2927.000,2927.000,13420,809,0,67,0
rust,root-help,194,2442.549,0.000,2377.000,6640,348,0,1,0
rust,root-help,195,2823.172,2714.000,0.000,6700,350,0,1,0
go,root-help,195,4573.783,3031.000,3031.000,13288,788,0,68,0
go,root-help,196,5695.140,3631.000,3631.000,13288,790,0,73,0
rust,root-help,196,2183.603,0.000,2064.000,6856,351,0,1,1
rust,root-help,197,2228.977,714.000,1429.000,6676,350,0,1,1
go,root-help,197,4560.287,3531.000,2354.000,13432,818,0,63,0
go,root-help,198,6630.616,4659.000,3494.000,13404,803,0,84,0
rust,root-help,198,2780.945,0.000,2709.000,6664,349,0,1,0
rust,root-help,199,2845.286,1372.000,1372.000,6720,350,0,1,0
go,root-help,199,5083.890,2795.000,3727.000,13404,843,0,70,0
go,root-help,200,5084.122,1306.000,5226.000,13404,800,0,63,0
rust,root-help,200,3884.598,0.000,3822.000,6580,351,0,0,1
rust,root-help,201,1977.666,0.000,1883.000,6620,350,0,1,0
go,root-help,201,4868.257,1234.000,4937.000,13236,789,0,51,2
go,root-help,202,10478.786,4831.000,8455.000,13436,832,0,93,0
rust,root-help,202,4253.692,2095.000,2095.000,6556,349,0,1,0
rust,root-help,203,3760.244,917.000,2753.000,6572,351,0,1,0
go,root-help,203,7692.542,4187.000,5234.000,13348,817,0,93,0
go,root-help,204,8920.147,5719.000,5719.000,13480,848,0,89,0
rust,root-help,204,3943.228,2525.000,1262.000,6708,350,0,1,0
rust,root-help,205,3010.587,0.000,2840.000,6608,350,0,1,1
go,root-help,205,9417.902,5133.000,6159.000,13340,833,0,97,2
go,root-help,206,9669.646,3032.000,9098.000,13404,804,0,81,0
rust,root-help,206,2919.776,0.000,2839.000,6704,351,0,1,0
rust,root-help,207,2727.534,1311.000,1311.000,6504,352,0,1,0
go,root-help,207,6916.243,2999.000,5999.000,13340,826,0,78,0
go,root-help,208,6562.479,2457.000,6142.000,13228,828,0,81,0
rust,root-help,208,3743.303,898.000,2694.000,6520,350,0,1,1
rust,root-help,209,2479.428,0.000,2328.000,6684,350,0,1,0
go,root-help,209,9586.489,3499.000,7874.000,13500,830,0,98,1
go,root-help,210,5870.579,1757.000,6150.000,13436,820,0,66,0
rust,root-help,210,3717.183,1186.000,2373.000,6600,350,0,1,1
rust,root-help,211,3908.563,2486.000,1243.000,6696,350,0,1,0
go,root-help,211,8473.268,4597.000,5746.000,13436,817,0,82,0
go,root-help,212,8189.125,5763.000,4802.000,13288,807,0,78,0
rust,root-help,212,3378.287,0.000,3250.000,6552,350,0,1,0
rust,root-help,213,3595.716,3453.000,0.000,6548,350,0,1,0
go,root-help,213,5822.679,5087.000,2543.000,13128,758,0,66,0
go,root-help,214,8540.684,4733.000,5916.000,13180,754,0,91,0
rust,root-help,214,2249.065,1081.000,1081.000,6764,350,0,1,0
