implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,125,4515.592,1760.000,2640.000,13220,691,0,13,8
go,root-help,126,5158.170,2807.000,1871.000,13140,698,0,22,19
rust,root-help,126,1837.103,0.000,1762.000,6668,350,0,1,2
rust,root-help,127,1569.729,0.000,1504.000,6728,350,0,1,2
go,root-help,127,3957.104,2587.000,1293.000,13176,695,0,40,37
go,root-help,128,4826.237,2162.000,2162.000,13148,692,0,40,38
rust,root-help,128,1925.637,930.000,930.000,6568,351,0,1,1
rust,root-help,129,1678.573,0.000,1587.000,6700,350,0,1,1
go,root-help,129,4159.555,939.000,2819.000,13160,692,0,41,34
go,root-help,130,4000.335,0.000,3920.000,13084,701,0,13,8
rust,root-help,130,2008.362,975.000,975.000,6648,348,0,1,1
rust,root-help,131,2130.834,1696.000,0.000,6672,350,0,1,2
go,root-help,131,4627.974,0.000,4483.000,13228,688,0,43,35
go,root-help,132,4491.828,1101.000,3305.000,13148,687,0,15,11
rust,root-help,132,2315.570,1271.000,635.000,6616,350,0,1,2
rust,root-help,133,1612.990,1557.000,0.000,6568,350,0,1,2
go,root-help,133,4634.446,0.000,4553.000,13164,696,0,37,33
go,root-help,134,5176.334,3543.000,885.000,13180,688,0,17,12
rust,root-help,134,1808.237,0.000,1716.000,6540,348,0,1,1
rust,root-help,135,1554.010,0.000,1498.000,6620,349,0,1,1
go,root-help,135,4983.632,1107.000,3322.000,13184,692,0,41,35
go,root-help,136,4453.436,2191.000,2191.000,13180,691,0,41,34
rust,root-help,136,1853.212,0.000,1802.000,6716,349,0,1,1
rust,root-help,137,1448.601,0.000,1402.000,6628,350,0,1,1
go,root-help,137,3842.469,942.000,2827.000,13176,693,0,34,28
go,root-help,138,4138.065,3046.000,1015.000,13148,692,0,40,33
rust,root-help,138,1835.447,0.000,1785.000,6412,352,0,1,1
rust,root-help,139,2168.463,1733.000,0.000,6720,351,0,1,2
go,root-help,139,5032.344,2737.000,1825.000,13160,698,0,37,36
go,root-help,140,5255.743,3181.000,1590.000,13240,704,0,44,36
rust,root-help,140,1851.248,896.000,896.000,6432,351,0,1,2
rust,root-help,141,1783.211,0.000,1437.000,6344,350,0,1,2
go,root-help,141,3940.673,2903.000,967.000,13164,701,0,39,35
go,root-help,142,3950.251,969.000,2909.000,13164,691,0,36,37
rust,root-help,142,1571.431,0.000,1515.000,6680,349,0,1,1
